排名	省区市	2013年GDP(亿元)	2013年常住人口(万)	人均GDP(元)	人均GDP(美元)
1	天津	14370.16	1472.21	97609.44	15760.74
2	北京	19500.6	2114.8	92210.14	14888.93
3	上海	21602.12	2415.15	89444.22	14442.33
4	江苏	59161.75	7939.49	74515.81	12031.87
5	浙江	37568.49	5498	68331.19	11033.26
6	内蒙古	16832.38	2497.61	67393.95	10881.93
7	辽宁	27077.7	4390	61680.41	9959.38
8	广东	62163.97	10644	58402.83	9430.15
9	福建	21759.64	3774	57656.70	9309.68
10	山东	54684.3	9733.39	56182.17	9071.59
11	吉林	12981.46	2751.28	47183.35	7618.57
12	陕西	16045.21	3763.7	42631.48	6883.59
13	重庆	12656.69	2970	42615.12	6880.95
14	湖北	24668.49	5799	42539.21	6868.70
15	宁夏	2565.1	654.19	39210.32	6331.19
16	河北	28301.4	7332.61	38596.63	6232.10
17	黑龙江	14382.9	3834	37514.08	6057.30
18	新疆	8360.2	2248.53	37180.74	6003.48
19	湖南	24501.7	6690.6	36621.08	5913.11
20	青海	2101.05	577.8	36362.93	5871.43
21	海南	3146.46	895.28	35144.98	5674.77
22	山西	12602.2	3630	34716.80	5605.63
23	河南	32155.86	9413	34161.12	5515.91
24	四川	26260.77	8107	32392.71	5230.37
25	江西	14338.5	4522.15	31707.26	5119.69
26	安徽	19038.9	6029.8	31574.68	5098.28
27	广西	14378	4719	30468.32	4919.64
28	西藏	807.7	308	26224.03	4234.33
29	云南	11720.91	4659	25157.57	4062.13
30	甘肃	6268	2582.18	24274.06	3919.47
31	贵州	8006.79	3502.22	22862.04	3691.47
