排名	城市	2012年GDP(亿元)	2013年GDP(亿元)	较2012年实际增长率	所属
1	上海市	20101.33	21602.12	7.7%	（沪）
2	北京市	17801.02	19500.60	7.7%	（京）
3	广州市	13551.21	15420.14	11.6%	（广东1）
4	深圳市	12950.08	14500.23	10.5%	（广东2）
5	天津市	12885.18	14370.16	12.5%	（津）
6	苏州市	12011.65	13015.70	9.8%	（江苏1）
7	重庆市	11459.00	12656.69	12.3%	（渝）
8	成都市	8138.94	9108.89	10.1%	（四川1）
9	武汉市	8003.82	9051.27	10.0%	（湖北1）
10	杭州市	7803.98	8343.52	8.0%	（浙江1）
11	无锡市	7568.15	8070.18	9.3%	（江苏2）
12	南京市	7201.57	8011.78	11.0%	（江苏3）
13	青岛市	7302.11	8006.60	10.0%	（山东1）
14	大连市	7002.80	7650.80	9.0%	（辽宁1）
15	沈阳市	6606.80	7223.70	10.0%	（辽宁2）
16	长沙市	6399.91	7153.13	12.0%	（湖南1）
17	宁波市	6524.70	7128.90	8.1%	（浙江2）
18	佛山市	6709.02	7010.17	10.0%	（广东3）
19	郑州市	5547.00	6201.90	10.0%	（河南1）
20	唐山市	5861.63	6121.20	8.5%	（河北1）
21	烟台市	5281.38	5613.87	10.2%	（山东2）
22	东莞市	5010.14	5490.02	9.8%	（广东4）
23	济南市	4812.68	5230.19	9.6%	（山东3）
24	泉州市	4726.50	5218.00	11.5%	（福建1）
25	哈尔滨市	4550.10	5141.50	9.0%	（黑龙江1）
26	南通市	4558.67	5038.89	8.5%	（江苏4）
27	长春市	4506.60	5000.00	9.0%	（吉林1）
28	西安市	4369.37	4884.10	11.1%	（陕西1）
29	石家庄市	4500.20	4863.60	9.5%	（河北2）
30	福州市	4218.29	4678.50	11.5%	（福建2）
31	合肥市	4164.34	4672.90	11.5%	（安徽1）
32	徐州市	4020.46	4435.82	11.8%	（江苏6）
33	潍坊市	4012.43	4420.70	10.6%	（山东4）
34	常州市	3969.75	4360.93	10.9%	（江苏5）
35	大庆市	4000.50	4332.70	11.1%	（黑龙江2）
36	温州市	3650.06	4003.86	7.7%	（浙江3）
37	绍兴市	3620.10	3967.29	8.5%	（浙江4）
38	鄂尔多斯	3660.50	3955.90	9.6%	（内蒙古1）
39	淄博市	3557.20	3801.24	9.5%	（山东5）
40	包头市	3409.50	3503.02	9.3%	（内蒙古2）
41	济宁市	3189.37	3501.50	11.0%	（山东6）
42	盐城市	3120.00	3475.50	12.5%	(江苏7)
43	昆明市	3011.14	3450.00	14.1%	（云南1）
44	临沂市	3012.80	3336.80	11.4%	（山东8）
45	南昌市	3000.52	3336.03	10.7%	(江西1)
46	扬州市	2933.20	3252.01	12.0%	（江苏8）
47	东营市	3000.66	3250.20	11.2%	（山东7）
48	台州市	2927.34	3153.34	7.9%	（浙江5）
49	嘉兴市	2884.94	3147.66	9.3%	（浙江6）
50	洛阳市	3001.10	3136.14	7.0%	（河南2）
51	邯郸市	3023.70	3061.50	7.3%	（河北3）
52	沧州市	2811.89	3020.00	9.0%	（河北4）
53	厦门市	2817.07	3018.16	9.5%	（福建3）
54	泰州市	2701.67	3006.91	12.0%	（江苏9）
55	金华市	2700.12	2958.78	9.1%	（浙江7）
56	镇江市	2630.05	2927.09	12.1%	（江苏10）
57	榆林市	2769.22	2846.75	8.8%	（陕西2）
58	宜昌市	2508.89	2816.00	11.5%	（湖北2）
59	襄阳市	2501.96	2814.00	11.4%	（湖北3）
60	南宁市	2503.60	2803.54	10.3%	（广西1）
61	泰安市	2547.00	2790.70	10.6%	（山东9）
62	呼和浩特	2525.60	2710.39	10.0%	（内蒙古3）
63	保定市	2720.90	2680.00	9.0%	（河北5）
64	惠州市	2368.03	2678.35	13.6%	（广东6）
65	中山市	2447.40	2638.93	10.0%	（广东5）
66	鞍山市	2687.10	2638.00	9.0%	（辽宁3）
67	吉林市	2430.00	2630.00	12.0%	（吉林2）
68	威海市	2337.86	2549.69	10.5%	（山东10）
69	南阳市	2367.20	2500.00	9.0%	（河南3）
70	德州市	2230.56	2460.59	11.2%	（山东11）
71	岳阳市	2199.92	2430.52	10.2%	（湖南2）
72	太原市	2311.43	2412.87	8.7%	（山西1）
