排名	地区	地区生产总值（亿元）
1	广东省	62,164.00
2	江苏省	59,161.80
3	山东省	54,684.30
4	浙江省	37,568.50
5	河南省	32,155.90
6	河北省	28,301.40
7	辽宁省	27,077.70
8	湖北省	24,668.50
9	湖南省	24,501.70
10	四川省	23,872.80
11	福建省	21,759.60
12	上海市	21,602.10
13	北京市	19,500.60
14	安徽省	19,038.90
15	内蒙古自治区	16,832.40
16	陕西省	16,045.20
17	黑龙江省	14,382.90
18	广西壮族自治区	14,378.00
19	天津市	14,370.20
20	江西省	14,338.50
21	吉林省	12,981.50
22	重庆市	12,656.70
23	山西省	12,602.20
24	云南省	11,720.90
25	新疆维吾尔自治区	8,360.20
26	贵州省	8,006.80
27	甘肃省	6,268.00
28	海南省	3,146.50
29	宁夏自治区	2,565.10
30	青海省	2,101.10
31	西藏自治区	807.7
